Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_51_321,VGND,li1,155.9400,152.3200,0.000069
FILLER_51_313,VGND,li1,149.9600,152.3200,0.000069
FILLER_51_305,VGND,li1,147.6600,152.3200,0.000069
FILLER_51_293,VGND,li1,143.0600,152.3200,0.000069
FILLER_51_281,VGND,li1,137.5400,152.3200,0.000069
FILLER_51_279,VGND,li1,134.0900,152.3200,0.000068
FILLER_51_271,VGND,li1,132.0200,152.3200,0.000068
FILLER_51_259,VGND,li1,127.4200,152.3200,0.000067
FILLER_51_254,VGND,li1,122.5900,152.3200,0.000066
FILLER_51_246,VGND,li1,120.5200,152.3200,0.000066
FILLER_51_242,VGND,li1,117.0700,152.3200,0.000065
FILLER_51_230,VGND,li1,114.0800,152.3200,0.000064
FILLER_51_223,VGND,li1,108.3300,152.3200,0.000062
FILLER_51_219,VGND,li1,107.1800,152.3200,0.000061
FILLER_51_207,VGND,li1,103.5000,152.3200,0.000060
FILLER_51_193,VGND,li1,95.6800,152.3200,0.000056
FILLER_51_181,VGND,li1,91.5400,152.3200,0.000055
FILLER_51_169,VGND,li1,86.0200,152.3200,0.000052
FILLER_51_166,VGND,li1,82.3400,152.3200,0.000050
FILLER_51_158,VGND,li1,80.0400,152.3200,0.000050
FILLER_51_141,VGND,li1,73.1400,152.3200,0.000046
FILLER_51_129,VGND,li1,67.6200,152.3200,0.000043
FILLER_51_113,VGND,li1,57.9600,152.3200,0.000037
FILLER_51_111,VGND,li1,56.8100,152.3200,0.000037
FILLER_51_96,VGND,li1,51.5200,152.3200,0.000033
FILLER_51_87,VGND,li1,45.7700,152.3200,0.000029
FILLER_51_57,VGND,li1,32.2000,152.3200,0.000017
FILLER_51_50,VGND,li1,28.9800,152.3200,0.000014
FILLER_51_38,VGND,li1,25.7600,152.3200,0.000010
FILLER_51_27,VGND,li1,18.8600,152.3200,0.000011
FILLER_51_15,VGND,li1,15.1800,152.3200,0.000011
FILLER_51_3,VGND,li1,9.6600,152.3200,0.000011
FILLER_50_327,VGND,li1,157.7800,146.8800,0.000119
FILLER_50_309,VGND,li1,148.1200,146.8800,0.000118
FILLER_50_293,VGND,li1,141.2200,146.8800,0.000118
FILLER_50_281,VGND,li1,137.5400,146.8800,0.000118
FILLER_50_273,VGND,li1,131.3300,146.8800,0.000116
FILLER_50_265,VGND,li1,129.2600,146.8800,0.000116
FILLER_50_253,VGND,li1,122.1300,146.8800,0.000113
FILLER_50_246,VGND,li1,120.0600,146.8800,0.000112
FILLER_50_233,VGND,li1,113.3900,146.8800,0.000108
FILLER_50_227,VGND,li1,110.1700,146.8800,0.000107
FILLER_50_219,VGND,li1,108.1000,146.8800,0.000105
FILLER_50_209,VGND,li1,101.8900,146.8800,0.000100
FILLER_50_194,VGND,li1,95.2200,146.8800,0.000096
FILLER_50_166,VGND,li1,82.1100,146.8800,0.000085
FILLER_50_155,VGND,li1,77.0500,146.8800,0.000080
FILLER_50_143,VGND,li1,74.0600,146.8800,0.000078
FILLER_50_120,VGND,li1,61.4100,146.8800,0.000064
FILLER_50_112,VGND,li1,58.8800,146.8800,0.000061
FILLER_50_106,VGND,li1,54.5100,146.8800,0.000054
FILLER_50_94,VGND,li1,51.5200,146.8800,0.000050
FILLER_50_85,VGND,li1,46.0000,146.8800,0.000042
FILLER_50_83,VGND,li1,43.9300,146.8800,0.000039
FILLER_50_77,VGND,li1,42.3200,146.8800,0.000039
FILLER_50_72,VGND,li1,39.3300,146.8800,0.000035
FILLER_50_60,VGND,li1,35.8800,146.8800,0.000029
FILLER_50_48,VGND,li1,30.3600,146.8800,0.000023
FILLER_50_33,VGND,li1,20.9300,146.8800,0.000015
FILLER_50_29,VGND,li1,19.7800,146.8800,0.000015
FILLER_50_19,VGND,li1,14.9500,146.8800,0.000015
FILLER_50_3,VGND,li1,9.6600,146.8800,0.000015
FILLER_49_334,VGND,li1,159.3900,146.8800,0.000119
FILLER_49_326,VGND,li1,157.3200,146.8800,0.000119
FILLER_49_304,VGND,li1,147.2000,146.8800,0.000118
FILLER_49_299,VGND,li1,143.5200,146.8800,0.000118
FILLER_49_288,VGND,li1,138.9200,146.8800,0.000118
FILLER_49_279,VGND,li1,134.0900,146.8800,0.000117
FILLER_49_273,VGND,li1,132.4800,146.8800,0.000116
FILLER_49_258,VGND,li1,125.5800,146.8800,0.000114
FILLER_49_241,VGND,li1,118.2200,146.8800,0.000111
FILLER_49_237,VGND,li1,114.7700,146.8800,0.000109
FILLER_49_225,VGND,li1,111.7800,146.8800,0.000107
FILLER_49_212,VGND,li1,105.8000,146.8800,0.000103
FILLER_49_200,VGND,li1,100.2800,146.8800,0.000100
FILLER_49_188,VGND,li1,94.7600,146.8800,0.000096
FILLER_49_176,VGND,li1,89.2400,146.8800,0.000092
FILLER_49_173,VGND,li1,85.3300,146.8800,0.000089
FILLER_49_169,VGND,li1,84.1800,146.8800,0.000087
FILLER_49_160,VGND,li1,80.9600,146.8800,0.000085
FILLER_49_156,VGND,li1,77.5100,146.8800,0.000080
FILLER_49_150,VGND,li1,75.9000,146.8800,0.000080
FILLER_49_138,VGND,li1,71.7600,146.8800,0.000074
FILLER_49_126,VGND,li1,66.2400,146.8800,0.000069
FILLER_49_121,VGND,li1,61.6400,146.8800,0.000064
FILLER_49_113,VGND,li1,59.3400,146.8800,0.000061
FILLER_49_110,VGND,li1,56.5800,146.8800,0.000057
FILLER_49_98,VGND,li1,53.3600,146.8800,0.000054
FILLER_49_89,VGND,li1,47.1500,146.8800,0.000046
FILLER_49_81,VGND,li1,44.6200,146.8800,0.000042
FILLER_49_69,VGND,li1,40.0200,146.8800,0.000035
FILLER_49_57,VGND,li1,34.5000,146.8800,0.000029
FILLER_49_54,VGND,li1,30.8200,146.8800,0.000023
FILLER_49_46,VGND,li1,28.5200,146.8800,0.000021
FILLER_49_36,VGND,li1,22.3100,146.8800,0.000015
FILLER_49_27,VGND,li1,18.6300,146.8800,0.000015
FILLER_49_3,VGND,li1,7.3600,146.8800,0.000015
FILLER_48_333,VGND,li1,159.1600,141.4400,0.000150
FILLER_48_321,VGND,li1,155.9400,141.4400,0.000150
FILLER_48_309,VGND,li1,150.4200,141.4400,0.000149
FILLER_48_307,VGND,li1,146.9700,141.4400,0.000149
FILLER_48_301,VGND,li1,145.3600,141.4400,0.000149
FILLER_48_289,VGND,li1,141.2200,141.4400,0.000149
FILLER_48_277,VGND,li1,135.7000,141.4400,0.000148
FILLER_48_265,VGND,li1,130.1800,141.4400,0.000148
FILLER_48_253,VGND,li1,124.6600,141.4400,0.000147
FILLER_48_250,VGND,li1,120.9800,141.4400,0.000146
FILLER_48_242,VGND,li1,118.6800,141.4400,0.000145
FILLER_48_234,VGND,li1,113.6200,141.4400,0.000144
FILLER_48_226,VGND,li1,111.3200,141.4400,0.000143
FILLER_48_214,VGND,li1,104.4200,141.4400,0.000140
FILLER_48_206,VGND,li1,102.1200,141.4400,0.000139
FILLER_48_197,VGND,li1,97.0600,141.4400,0.000137
FILLER_48_195,VGND,li1,95.4500,141.4400,0.000136
FILLER_48_190,VGND,li1,93.1500,141.4400,0.000135
FILLER_48_181,VGND,li1,89.0100,141.4400,0.000131
FILLER_48_177,VGND,li1,87.8600,141.4400,0.000131
FILLER_48_165,VGND,li1,84.1800,141.4400,0.000126
FILLER_48_145,VGND,li1,73.6000,141.4400,0.000117
FILLER_48_131,VGND,li1,66.2400,141.4400,0.000107
FILLER_48_119,VGND,li1,63.0200,141.4400,0.000101
FILLER_48_109,VGND,li1,56.3500,141.4400,0.000089
FILLER_48_101,VGND,li1,53.8200,141.4400,0.000085
FILLER_48_91,VGND,li1,47.6100,141.4400,0.000071
FILLER_48_85,VGND,li1,46.0000,141.4400,0.000071
FILLER_48_83,VGND,li1,43.9300,141.4400,0.000066
FILLER_48_65,VGND,li1,35.6500,141.4400,0.000051
FILLER_48_57,VGND,li1,33.5800,141.4400,0.000046
FILLER_48_41,VGND,li1,26.2200,141.4400,0.000030
FILLER_48_29,VGND,li1,21.6200,141.4400,0.000024
FILLER_48_25,VGND,li1,17.7100,141.4400,0.000024
FILLER_48_13,VGND,li1,14.2600,141.4400,0.000024
