Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_134_41,VPWR,li1,27.1400,378.0800,1.799998
FILLER_134_29,VPWR,li1,21.6200,378.0800,1.799999
FILLER_134_27,VPWR,li1,18.1700,378.0800,1.799999
FILLER_134_15,VPWR,li1,15.1800,378.0800,1.799999
FILLER_134_3,VPWR,li1,9.6600,378.0800,1.799999
FILLER_133_809,VPWR,li1,378.1200,372.6400,1.799979
FILLER_133_797,VPWR,li1,374.9000,372.6400,1.799979
FILLER_133_785,VPWR,li1,369.3800,372.6400,1.799979
FILLER_133_783,VPWR,li1,365.9300,372.6400,1.799979
FILLER_133_777,VPWR,li1,364.3200,372.6400,1.799979
FILLER_133_765,VPWR,li1,360.1800,372.6400,1.799979
FILLER_133_753,VPWR,li1,354.6600,372.6400,1.799979
FILLER_133_741,VPWR,li1,349.1400,372.6400,1.799979
FILLER_133_729,VPWR,li1,343.6200,372.6400,1.799979
FILLER_133_727,VPWR,li1,340.1700,372.6400,1.799979
FILLER_133_721,VPWR,li1,338.5600,372.6400,1.799979
FILLER_133_709,VPWR,li1,334.4200,372.6400,1.799979
FILLER_133_697,VPWR,li1,328.9000,372.6400,1.799979
FILLER_133_685,VPWR,li1,323.3800,372.6400,1.799970
FILLER_133_673,VPWR,li1,317.8600,372.6400,1.799959
FILLER_133_671,VPWR,li1,314.4100,372.6400,1.799948
FILLER_133_665,VPWR,li1,312.8000,372.6400,1.799948
FILLER_133_653,VPWR,li1,308.6600,372.6400,1.799940
FILLER_133_641,VPWR,li1,303.1400,372.6400,1.799926
FILLER_133_629,VPWR,li1,297.6200,372.6400,1.799917
FILLER_133_617,VPWR,li1,292.1000,372.6400,1.799906
FILLER_133_615,VPWR,li1,288.6500,372.6400,1.799895
FILLER_133_609,VPWR,li1,287.0400,372.6400,1.799895
FILLER_133_597,VPWR,li1,282.9000,372.6400,1.799886
FILLER_133_585,VPWR,li1,277.3800,372.6400,1.799873
FILLER_133_573,VPWR,li1,271.8600,372.6400,1.799864
FILLER_133_561,VPWR,li1,266.3400,372.6400,1.799852
FILLER_133_559,VPWR,li1,262.8900,372.6400,1.799842
FILLER_133_553,VPWR,li1,261.2800,372.6400,1.799842
FILLER_133_541,VPWR,li1,257.1400,372.6400,1.799833
FILLER_133_529,VPWR,li1,251.6200,372.6400,1.799819
FILLER_133_517,VPWR,li1,246.1000,372.6400,1.799810
FILLER_133_505,VPWR,li1,240.5800,372.6400,1.799799
FILLER_133_503,VPWR,li1,237.1300,372.6400,1.799788
FILLER_133_497,VPWR,li1,235.5200,372.6400,1.799788
FILLER_133_485,VPWR,li1,231.3800,372.6400,1.799780
FILLER_133_473,VPWR,li1,225.8600,372.6400,1.799768
FILLER_133_461,VPWR,li1,220.3400,372.6400,1.799757
FILLER_133_449,VPWR,li1,214.8200,372.6400,1.799746
FILLER_133_440,VPWR,li1,209.7600,372.6400,1.799735
FILLER_133_428,VPWR,li1,205.1600,372.6400,1.799723
FILLER_133_393,VPWR,li1,189.0600,372.6400,1.799716
FILLER_133_385,VPWR,li1,183.5400,372.6400,1.799722
FILLER_133_373,VPWR,li1,179.8600,372.6400,1.799727
FILLER_133_361,VPWR,li1,174.3400,372.6400,1.799675
FILLER_133_349,VPWR,li1,168.8200,372.6400,1.799563
FILLER_133_337,VPWR,li1,163.3000,372.6400,1.799422
FILLER_133_335,VPWR,li1,159.8500,372.6400,1.799333
FILLER_133_327,VPWR,li1,157.7800,372.6400,1.799280
FILLER_133_303,VPWR,li1,145.1300,372.6400,1.798941
FILLER_133_297,VPWR,li1,143.5200,372.6400,1.798941
FILLER_133_278,VPWR,li1,133.8600,372.6400,1.798733
FILLER_133_267,VPWR,li1,129.2600,372.6400,1.798601
FILLER_133_240,VPWR,li1,116.8400,372.6400,1.798394
FILLER_133_225,VPWR,li1,111.7800,372.6400,1.798318
FILLER_133_222,VPWR,li1,108.1000,372.6400,1.798272
FILLER_133_214,VPWR,li1,105.8000,372.6400,1.798250
FILLER_133_202,VPWR,li1,101.2000,372.6400,1.798331
FILLER_133_190,VPWR,li1,95.6800,372.6400,1.798399
FILLER_133_181,VPWR,li1,90.1600,372.6400,1.798481
FILLER_133_169,VPWR,li1,86.0200,372.6400,1.798564
FILLER_133_167,VPWR,li1,82.5700,372.6400,1.798656
FILLER_133_161,VPWR,li1,80.9600,372.6400,1.798656
FILLER_133_149,VPWR,li1,76.8200,372.6400,1.798736
FILLER_133_137,VPWR,li1,71.3000,372.6400,1.798863
FILLER_133_125,VPWR,li1,65.7800,372.6400,1.798947
FILLER_133_113,VPWR,li1,60.2600,372.6400,1.799052
FILLER_133_111,VPWR,li1,56.8100,372.6400,1.799149
FILLER_133_105,VPWR,li1,55.2000,372.6400,1.799149
FILLER_133_93,VPWR,li1,51.0600,372.6400,1.799228
FILLER_133_81,VPWR,li1,45.5400,372.6400,1.799356
FILLER_133_69,VPWR,li1,40.0200,372.6400,1.799439
FILLER_133_57,VPWR,li1,34.5000,372.6400,1.799545
FILLER_133_55,VPWR,li1,31.0500,372.6400,1.799633
FILLER_133_51,VPWR,li1,29.9000,372.6400,1.799633
FILLER_133_39,VPWR,li1,26.2200,372.6400,1.799703
FILLER_133_27,VPWR,li1,20.7000,372.6400,1.799809
FILLER_133_15,VPWR,li1,15.1800,372.6400,1.799809
FILLER_133_3,VPWR,li1,9.6600,372.6400,1.799809
FILLER_132_805,VPWR,li1,377.2000,372.6400,1.799979
FILLER_132_793,VPWR,li1,373.0600,372.6400,1.799979
FILLER_132_781,VPWR,li1,367.5400,372.6400,1.799979
FILLER_132_769,VPWR,li1,362.0200,372.6400,1.799979
FILLER_132_757,VPWR,li1,356.5000,372.6400,1.799979
FILLER_132_755,VPWR,li1,353.0500,372.6400,1.799979
FILLER_132_749,VPWR,li1,351.4400,372.6400,1.799979
FILLER_132_737,VPWR,li1,347.3000,372.6400,1.799979
FILLER_132_725,VPWR,li1,341.7800,372.6400,1.799979
FILLER_132_713,VPWR,li1,336.2600,372.6400,1.799979
FILLER_132_701,VPWR,li1,330.7400,372.6400,1.799979
FILLER_132_699,VPWR,li1,327.2900,372.6400,1.799975
FILLER_132_693,VPWR,li1,325.6800,372.6400,1.799975
FILLER_132_681,VPWR,li1,321.5400,372.6400,1.799966
FILLER_132_669,VPWR,li1,316.0200,372.6400,1.799953
FILLER_132_657,VPWR,li1,310.5000,372.6400,1.799944
FILLER_132_645,VPWR,li1,304.9800,372.6400,1.799932
FILLER_132_643,VPWR,li1,301.5300,372.6400,1.799922
FILLER_132_637,VPWR,li1,299.9200,372.6400,1.799922
FILLER_132_625,VPWR,li1,295.7800,372.6400,1.799913
FILLER_132_613,VPWR,li1,290.2600,372.6400,1.799899
FILLER_132_601,VPWR,li1,284.7400,372.6400,1.799890
FILLER_132_589,VPWR,li1,279.2200,372.6400,1.799879
FILLER_132_587,VPWR,li1,275.7700,372.6400,1.799868
FILLER_132_581,VPWR,li1,274.1600,372.6400,1.799868
FILLER_132_569,VPWR,li1,270.0200,372.6400,1.799860
FILLER_132_557,VPWR,li1,264.5000,372.6400,1.799846
FILLER_132_545,VPWR,li1,258.9800,372.6400,1.799837
FILLER_132_533,VPWR,li1,253.4600,372.6400,1.799826
FILLER_132_531,VPWR,li1,250.0100,372.6400,1.799815
FILLER_132_525,VPWR,li1,248.4000,372.6400,1.799815
FILLER_132_513,VPWR,li1,244.2600,372.6400,1.799806
FILLER_132_501,VPWR,li1,238.7400,372.6400,1.799793
FILLER_132_489,VPWR,li1,233.2200,372.6400,1.799784
FILLER_132_477,VPWR,li1,227.7000,372.6400,1.799772
FILLER_132_473,VPWR,li1,223.7900,372.6400,1.799764
FILLER_132_465,VPWR,li1,221.2600,372.6400,1.799757
FILLER_132_453,VPWR,li1,216.6600,372.6400,1.799749
FILLER_132_441,VPWR,li1,211.1400,372.6400,1.799735
FILLER_132_412,VPWR,li1,196.8800,372.6400,1.799716
FILLER_132_377,VPWR,li1,181.7000,372.6400,1.799725
FILLER_132_365,VPWR,li1,176.1800,372.6400,1.799732
FILLER_132_363,VPWR,li1,172.7300,372.6400,1.799622
FILLER_132_357,VPWR,li1,171.1200,372.6400,1.799622
